xmlns:cpt=http://iri.columbia.edu/CPT/v10/
xmlns:cf=http://cf-pcmdi.llnl.gov/documents/cf-conventions/1.4/
cpt:nfields=1
cpt:T	1983-06/09	1984-06/09	1985-06/09	1986-06/09	1987-06/09	1988-06/09	1989-06/09	1990-06/09	1991-06/09	1992-06/09	1993-06/09	1994-06/09	1995-06/09	1996-06/09	1997-06/09	1998-06/09	1999-06/09	2000-06/09	2001-06/09	2002-06/09	2003-06/09	2004-06/09	2005-06/09	2006-06/09	2007-06/09	2008-06/09	2009-06/09	2010-06/09
cpt:field=rfe, cpt:T=1983-06/09, cpt:nrow=42, cpt:ncol=32, cpt:row=Y, cpt:col=X, cpt:units=mm/day, cf:standard_name=lwe_precipitation_rate, cpt:missing=-999
2.977312	  467.406    	  378.741    	  409.018    	  255.068    	  178.280    	  78.2175    	  57.4402    	  21.8181    	  19.8995    	  113.969    	  26.4976    	  36.3629    	  23.0844    	  19.6615    	  11.1364    	  6.49411    	  1.51956    	  1.28973    	  5.54060    	  4.45890    	  15.6061    	  3.42276    	  4.98134    	  20.0075    	  3.97474    	 0.000000E+00	 0.925282    	 0.000000E+00	  3.73397    	  13.1392    	  15.2533    	  25.3107    
2.727328	  458.084    	  348.840    	  300.081    	  264.221    	  130.624    	  74.3593    	  57.9239    	  32.7493    	  26.9065    	  15.3874    	  117.152    	  63.6924    	  79.1962    	  7.31388    	 7.641224E-02	  1.64327    	  4.40425    	  2.32746    	  10.5860    	  14.0081    	  3.24957    	 0.775045    	  2.01273    	 0.000000E+00	 4.980115E-05	 1.680696E-05	 0.000000E+00	 1.002671E-06	  3.55545    	  7.99861    	  26.8986    	  43.0253    
2.477344	  458.501    	  425.472    	  320.953    	  377.832    	  300.389    	  129.760    	  107.148    	  61.7042    	  30.4869    	  16.9289    	  66.9867    	  61.3810    	  20.1422    	  7.37682    	 0.000000E+00	 8.481311E-02	 0.849148    	  3.28546    	  7.18486    	  2.64534    	  2.25072    	 3.121883E-02	 0.000000E+00	 0.000000E+00	 0.000000E+00	  11.4716    	  8.33130    	  6.48554    	  22.4221    	  25.3635    	  31.3559    	  45.1811    
2.227359	  499.141    	  410.247    	  364.423    	  330.138    	  332.486    	  223.137    	  154.674    	  93.0839    	  48.3485    	  49.4063    	  40.9819    	  91.6979    	  53.0915    	  2.91586    	 0.000000E+00	  4.92175    	  68.9003    	  7.29576    	 0.000000E+00	 3.234989E-08	 1.544597E-08	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	  3.14187    	  9.32431    	  8.29440    	  21.1961    	  18.6382    	  23.2867    	  31.4258    
1.977375	  475.390    	  469.203    	  443.450    	  369.222    	  352.462    	  376.431    	  214.833    	  258.804    	  138.609    	  69.9186    	  53.9193    	  100.376    	  36.9853    	  7.65434    	 3.170577E-19	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	  14.8386    	  21.9176    	  21.1623    	  20.4549    	  31.8387    	  41.8573    
1.727391	  510.773    	  452.372    	  523.790    	  440.998    	  401.010    	  424.403    	  376.133    	  285.695    	  173.453    	  89.1875    	  81.5608    	  156.666    	  92.1923    	  97.8269    	  5.48179    	 1.071746E-06	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.806875E-08	 3.682232E-08	 0.000000E+00	 0.000000E+00	 0.000000E+00	  11.1870    	  15.9721    	  31.2940    	  46.6695    	  45.9226    	  62.4428    
1.477406	  487.373    	  507.164    	  533.277    	  458.527    	  417.192    	  424.636    	  387.919    	  349.698    	  360.263    	  166.920    	  176.734    	  153.913    	  43.0313    	  79.9240    	  3.23607    	 0.418731    	 0.000000E+00	 0.000000E+00	 0.000000E+00	 6.591266E-13	 0.000000E+00	 1.656894E-08	 4.774202E-08	 0.000000E+00	 0.358565    	  3.69831    	  13.5817    	  26.7877    	  37.1348    	  52.9740    	  62.5772    	  77.6669    
1.227422	  468.546    	  660.350    	  678.598    	  565.770    	  553.323    	  709.169    	  695.649    	  428.504    	  442.057    	  294.850    	  411.645    	  393.381    	  120.533    	  125.360    	  29.0768    	  7.10385    	 0.527538    	 2.235418E-14	 1.247703E-14	 0.000000E+00	  5.14094    	 3.583354E-09	 2.097422E-08	 0.000000E+00	 0.480421    	  5.63067    	  13.6132    	  27.4779    	  56.1151    	  67.5835    	  65.1914    	  96.8399    
0.9774375	  456.359    	  567.355    	  642.563    	  584.634    	  565.097    	  561.533    	  667.041    	  535.292    	  431.167    	  411.473    	  347.092    	  169.734    	  98.6238    	  6.66968    	  36.6199    	  1.06431    	  1.82541    	 0.471038    	 0.000000E+00	 5.000834E-13	 3.498752E-13	 0.000000E+00	 0.000000E+00	 5.451318E-06	  1.70215    	  11.1303    	  23.1184    	  32.3808    	  52.1888    	  77.1704    	  99.6044    	  107.689    
0.7274531	  410.985    	  473.259    	  617.925    	  576.293    	  623.459    	  573.603    	  570.018    	  678.363    	  545.243    	  542.920    	  433.621    	  232.123    	  112.246    	  14.5288    	  29.4274    	  9.06640    	 6.739020E-13	 0.000000E+00	 0.000000E+00	 5.486394E-14	 0.000000E+00	 0.000000E+00	 0.000000E+00	 3.543965E-05	  3.15211    	  13.0667    	  18.2642    	  20.4096    	  56.6988    	  87.8903    	  95.8891    	  131.398    
